REGION_NAME,COUNTRY
East Asia & Pacific,KH
East Asia & Pacific,CN
East Asia & Pacific,FJ
East Asia & Pacific,ID
East Asia & Pacific,MY
East Asia & Pacific,MN
East Asia & Pacific,MM
East Asia & Pacific,NZ
East Asia & Pacific,PG
East Asia & Pacific,PH
East Asia & Pacific,KR
East Asia & Pacific,TH
East Asia & Pacific,TL
East Asia & Pacific,VN
Eastern Europe & Central Asia,AL
Eastern Europe & Central Asia,AZ
Eastern Europe & Central Asia,BA
Eastern Europe & Central Asia,BG
Eastern Europe & Central Asia,HR
Eastern Europe & Central Asia,CZ
Eastern Europe & Central Asia,GE
Eastern Europe & Central Asia,KZ
Eastern Europe & Central Asia,KG
Eastern Europe & Central Asia,MK
Eastern Europe & Central Asia,PL
Eastern Europe & Central Asia,RO
Eastern Europe & Central Asia,RU
Eastern Europe & Central Asia,RS
Eastern Europe & Central Asia,SK
Eastern Europe & Central Asia,SI
Eastern Europe & Central Asia,TJ
Eastern Europe & Central Asia,TR
Eastern Europe & Central Asia,UA
Latin America & Caribbean,AR
Latin America & Caribbean,BO
Latin America & Caribbean,BR
Latin America & Caribbean,CL
Latin America & Caribbean,CO
Latin America & Caribbean,CR
Latin America & Caribbean,DO
Latin America & Caribbean,EC
Latin America & Caribbean,SV
Latin America & Caribbean,GT
Latin America & Caribbean,HN
Latin America & Caribbean,MX
Latin America & Caribbean,NI
Latin America & Caribbean,PE
Latin America & Caribbean,TT
Latin America & Caribbean,VE
Middle East & North Africa,DZ
Middle East & North Africa,EG
Middle East & North Africa,IQ
Middle East & North Africa,JO
Middle East & North Africa,LB
Middle East & North Africa,MA
Middle East & North Africa,QA
Middle East & North Africa,TN
Middle East & North Africa,SA
Middle East & North Africa,YE
South Asia,AF
South Asia,BD
South Asia,IN
South Asia,NP
South Asia,PK
South Asia,LK
Sub-Saharan Africa,AO
Sub-Saharan Africa,BJ
Sub-Saharan Africa,BW
Sub-Saharan Africa,BF
Sub-Saharan Africa,CM
Sub-Saharan Africa,TD
Sub-Saharan Africa,CD
Sub-Saharan Africa,GQ
Sub-Saharan Africa,GH
Sub-Saharan Africa,KE
Sub-Saharan Africa,LR
Sub-Saharan Africa,MW
Sub-Saharan Africa,ML
Sub-Saharan Africa,MZ
Sub-Saharan Africa,NA
Sub-Saharan Africa,NE
Sub-Saharan Africa,NG
Sub-Saharan Africa,RW
Sub-Saharan Africa,ST
Sub-Saharan Africa,SN
Sub-Saharan Africa,SL
Sub-Saharan Africa,ZA
Sub-Saharan Africa,SD
Sub-Saharan Africa,TZ
Sub-Saharan Africa,UG
Sub-Saharan Africa,ZM
Sub-Saharan Africa,ZW
Western Europe & the U.S.,FR
Western Europe & the U.S.,DE
Western Europe & the U.S.,IT
Western Europe & the U.S.,NO
Western Europe & the U.S.,PT
Western Europe & the U.S.,ES
Western Europe & the U.S.,SE
Western Europe & the U.S.,GB
Western Europe & the U.S.,US
